avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
2439,0.07,74.2,11814.32,2208.375,2209.9714,848063.12,2020-12-01T04:50:22.913+09:00
2439,0.07,73.96,11823.42,2203.6212,2203.774,848394.28,2020-12-01T04:55:43.736+09:00
2439,0.14,73.14,11824.6,2205.9486,2203.9896,848169.12,2020-12-01T05:00:34.971+09:00
2439,0,72.38,11802.5,2202.9972,2198.8684,848171.68,2020-12-01T05:05:26.636+09:00
2439,0.26,73.08,11816.48,2191.7896,2185.1642,855785.48,2020-12-01T05:10:48.366+09:00
2439,0.13,73.04,11819.26,2193.5294,2186.6766,855662.66,2020-12-01T05:15:38.267+09:00
2439,0.11,73.02,11829.44,2194.72,2187.5148,855566.92,2020-12-01T05:20:29.604+09:00
2439,0.07,72.82,11846.48,2198.8386,2190.456,855322.6,2020-12-01T05:25:20.321+09:00
2439,0.07,74.72,11839.5,2199.9646,2191.6874,847945.8,2020-12-01T05:30:40.780+09:00
2439,0.13,74.5,11893.5,2199.8668,2193.0552,847862.42,2020-12-01T05:35:30.143+09:00
2439,0.1,75.02,11889.44,2199.4016,2193.5246,847880.74,2020-12-01T05:40:21.626+09:00
2439,0,75,11916.76,2205.2308,2200.3162,847571.88,2020-12-01T05:45:42.573+09:00
2439,0.05,74.54,11932.7,2200.744,2196.6054,847951.66,2020-12-01T05:55:21.585+09:00
2439,0.05,74.46,11908,2199.6796,2199.423,847706.38,2020-12-01T06:00:41.915+09:00
2439,0.09,74.72,11913.28,2198.203,2199.9056,847681.36,2020-12-01T06:05:31.209+09:00
2439,0.09,74.52,11899.02,2201.45,2202.5242,854581.08,2020-12-01T06:10:23.530+09:00
2439,0.11,74.88,11882.16,2203.5868,2207.1404,854318.54,2020-12-01T06:15:42.829+09:00
2439,0.09,75.36,11915.8,2203.6574,2206.897,854175.16,2020-12-01T06:20:33.133+09:00
2439,0.07,75.94,11927.94,2205.0202,2208.9236,853989,2020-12-01T06:25:21.960+09:00
2439,0.07,76.02,11909.16,2203.72,2205.23,854163.3,2020-12-01T06:30:42.847+09:00
2439,0.24,76.06,11889.84,2203.3912,2202.3766,847211.08,2020-12-01T06:35:32.554+09:00
2439,0.13,76.28,11933.56,2206.2388,2208.2376,847272.46,2020-12-01T06:40:22.471+09:00
2439,0.08,76.16,11915.6,2210.762,2213.669,847087.4,2020-12-01T06:45:43.009+09:00
2439,0.15,75.6,11951.08,2218.4408,2223.699,846689.94,2020-12-01T06:55:23.092+09:00
2439,0.07,75.84,11930.2,2217.529,2222.5248,846651.54,2020-12-01T07:00:43.670+09:00
2439,0.09,75.54,11910.76,2214.5404,2216.8986,846926.2,2020-12-01T07:05:33.985+09:00
2439,0.05,73.72,11948.46,2212.3822,2214.73,853904.92,2020-12-01T07:10:22.999+09:00
