min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
1250,1372,1343.68,24.83,107494,2020-12-12T17:05:35.280+09:00
1249,1373,1343.44,27.73,107475,2020-12-12T20:05:25.040+09:00
1247,1374,1342.81,26.15,107425,2020-12-12T23:05:40.683+09:00
1230,1374,1337.91,32.01,107033,2020-12-13T03:05:34.152+09:00
1237,1374,1346.59,24.09,107727,2020-12-13T04:05:41.681+09:00
1245,1374,1338.44,30.05,107075,2020-12-13T07:05:27.060+09:00
1258,1374,1343.11,25.64,107449,2020-12-13T08:05:25.135+09:00
1221,1374,1341.35,30.56,107308,2020-12-13T09:05:21.735+09:00
1229,1374,1339.93,30.12,107194,2020-12-13T17:05:28.371+09:00
1242,1373,1341.79,26.67,107343,2020-12-14T00:05:30.013+09:00
1215,1373,1335.59,36.12,106847,2020-12-14T03:05:41.403+09:00
1239,1374,1338.24,30.74,107059,2020-12-14T04:05:27.332+09:00
1225,1374,1342.65,29.68,107412,2020-12-14T07:05:33.865+09:00
1222,1373,1335.75,37.05,106860,2020-12-14T09:05:44.352+09:00
1233,1374,1332.29,39.32,106583,2020-12-14T10:05:28.188+09:00
1238,1374,1338.46,31.2,107077,2020-12-14T16:05:48.206+09:00
1247,1374,1342.75,27.5,107420,2020-12-14T17:05:23.889+09:00
1240,1374,1336.78,32.86,106942,2020-12-14T18:05:27.233+09:00
1244,1374,1340.45,28.75,107236,2020-12-14T20:05:29.282+09:00
1220,1374,1335.16,36.02,106813,2020-12-15T03:05:27.821+09:00
1256,1374,1340.79,29.51,107263,2020-12-15T04:05:34.681+09:00
1217,1374,1339.81,28.12,107185,2020-12-15T06:05:19.929+09:00
1237,1374,1338.11,31.24,107049,2020-12-15T07:05:27.513+09:00
1243,1374,1339.51,30.87,107161,2020-12-15T09:05:27.513+09:00
1226,1374,1343.68,28.63,107494,2020-12-15T13:05:25.161+09:00
1228,1374,1335.71,35.44,106857,2020-12-15T14:05:30.764+09:00
1246,1374,1338.46,32.83,107077,2020-12-15T15:05:35.027+09:00
1244,1374,1343.59,26.43,107487,2020-12-15T17:05:33.915+09:00
1266,1374,1344.03,26.26,107522,2020-12-15T19:05:44.457+09:00
1246,1373,1338.71,32.37,107097,2020-12-15T20:05:48.047+09:00
