avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
2439,0.05,65,13084,2200.744,2196.6054,847951.66,2020-12-01T05:55:21.585+09:00
2439,0.05,61,11636,2199.6796,2199.423,847706.38,2020-12-01T06:00:41.915+09:00
2439,0.09,98,12176,2198.203,2199.9056,847681.36,2020-12-01T06:05:31.209+09:00
2439,0.09,61,13084,2201.45,2202.5242,854581.08,2020-12-01T06:10:23.530+09:00
2439,0.11,59,11402,2203.5868,2207.1404,854318.54,2020-12-01T06:15:42.829+09:00
2439,0.09,73,12251,2203.6574,2206.897,854175.16,2020-12-01T06:20:33.133+09:00
2439,0.07,63,12551,2205.0202,2208.9236,853989,2020-12-01T06:25:21.960+09:00
2439,0.07,60,11534,2203.72,2205.23,854163.3,2020-12-01T06:30:42.847+09:00
2439,0.24,59,10898,2203.3912,2202.3766,847211.08,2020-12-01T06:35:32.554+09:00
2439,0.13,65,12641,2206.2388,2208.2376,847272.46,2020-12-01T06:40:22.471+09:00
2439,0.08,103,10188,2210.762,2213.669,847087.4,2020-12-01T06:45:43.009+09:00
2439,0.15,64,11594,2218.4408,2223.699,846689.94,2020-12-01T06:55:23.092+09:00
2439,0.07,76,11939,2217.529,2222.5248,846651.54,2020-12-01T07:00:43.670+09:00
2439,0.09,161,11199,2214.5404,2216.8986,846926.2,2020-12-01T07:05:33.985+09:00
2439,0.05,61,12018,2212.3822,2214.73,853904.92,2020-12-01T07:10:22.999+09:00
2439,0.1,79,11662,2216.1426,2218.4196,853684.98,2020-12-01T07:15:42.607+09:00
2439,0.08,99,11169,2220.7852,2221.7548,853378.9,2020-12-01T07:20:34.255+09:00
2439,0.12,65,12740,2211.9336,2214.9996,854187.68,2020-12-01T07:25:24.550+09:00
2439,0.09,104,12459,2209.2474,2210.153,854439.44,2020-12-01T07:30:45.084+09:00
2439,0.08,85,11703,2212.109,2211.176,847513.56,2020-12-01T07:35:35.665+09:00
2439,0.07,59,10205,2217.0116,2216.5924,847358.14,2020-12-01T07:40:27.702+09:00
2439,0.05,59,11729,2215.4378,2216.5188,847404.18,2020-12-01T07:45:49.119+09:00
2439,0.1,61,11636,2214.9654,2214.9064,847444.46,2020-12-01T07:50:39.484+09:00
2439,0.11,72,12552,2216.7192,2218.9992,847369.58,2020-12-01T07:55:29.453+09:00
2439,0.11,75,13084,2225.2818,2226.8886,846863.6,2020-12-01T08:05:30.643+09:00
2439,0.08,90,11586,2220.2338,2224.1074,854226.16,2020-12-01T08:10:21.559+09:00
2439,0.09,76,11677,2209.6764,2212.9824,854973.72,2020-12-01T08:20:31.639+09:00
2439,0.07,61,11636,2208.2108,2213.7506,855003.74,2020-12-01T08:25:20.980+09:00
2439,0.05,78,11787,2211.5334,2217.9386,854853.06,2020-12-01T08:30:42.691+09:00
2439,0.09,65,11741,2209.3296,2213.5134,855001.7,2020-12-01T08:35:33.569+09:00
2439,0.07,63,12652,2210.8458,2216.3458,854836.66,2020-12-01T08:40:25.179+09:00
2439,0.11,63,10188,2208.2968,2207.2328,847965.22,2020-12-01T08:45:45.331+09:00
2439,0.07,65,12111,2211.1568,2212.051,847589.46,2020-12-01T08:50:36.586+09:00
2439,0.08,61,11636,2205.2978,2207.0618,847766.48,2020-12-01T08:55:25.862+09:00
2439,0.06,61,11183,2209.1914,2212.2944,847627.02,2020-12-01T09:05:30.331+09:00
2439,0.11,65,13084,2209.7758,2211.6426,854859.84,2020-12-01T09:10:20.765+09:00
2439,0.12,66,12079,2199.234,2204.0774,855405.58,2020-12-01T09:20:30.590+09:00
2439,0.05,63,12227,2198.5534,2201.975,855517.22,2020-12-01T09:25:20.127+09:00
2439,0.08,75,12461,2203.6168,2208.1284,855389.16,2020-12-01T09:30:42.609+09:00
2439,0.07,61,11844,2204.2092,2208.6798,855311.3,2020-12-01T09:35:32.325+09:00
2439,0.2,94,11979,2201.3374,2206.9624,855501.28,2020-12-01T09:40:21.705+09:00
2439,0.12,102,12402,2200.2178,2206.1278,848584.64,2020-12-01T09:45:40.237+09:00
2439,0.1,60,11775,2202.169,2207.4446,848343.86,2020-12-01T09:50:30.267+09:00
2439,0.07,61,11934,2204.2924,2205.9522,848345.6,2020-12-01T09:55:20.766+09:00
2439,0,66,12488,2204.9702,2210.6454,848521.96,2020-12-01T10:00:40.480+09:00
2439,0,161,11636,2205.7366,2210.6608,848437.5,2020-12-01T10:05:31.000+09:00
2439,0.09,62,13084,2207.138,2209.6664,855380.1,2020-12-01T10:10:21.915+09:00
2439,0.25,96,11717,2206.6678,2206.958,855400.04,2020-12-01T10:15:41.704+09:00
2439,0.05,61,11928,2210.1308,2208.2164,855299.76,2020-12-01T10:20:31.653+09:00
2439,0,64,12666,2200.7548,2197.4128,855795.78,2020-12-01T10:25:22.066+09:00
2439,0.2,61,11849,2200.4286,2199.3606,856008.16,2020-12-01T10:30:41.629+09:00
2439,0,74,11900,2203.4482,2204.0122,856089.32,2020-12-01T10:35:32.306+09:00
2439,0.09,88,11463,2199.2206,2196.4684,849463.48,2020-12-01T10:40:21.437+09:00
2439,0.07,79,12241,2196.4032,2193.2448,849766.8,2020-12-01T10:45:41.791+09:00
2439,0,83,13084,2189.3078,2184.1122,850244.74,2020-12-01T10:50:32.424+09:00
2439,0,102,12858,2190.3732,2184.2026,850281.8,2020-12-01T10:55:22.174+09:00
2439,0.1,67,11612,2188.298,2184.1186,850510.92,2020-12-01T11:00:41.855+09:00
2439,0.06,62,10568,2191.1444,2189.6598,850214.34,2020-12-01T11:05:32.046+09:00
2439,0.11,70,13084,2189.168,2189.3962,857535.18,2020-12-01T11:10:21.367+09:00
2439,0.13,59,11743,2187.5498,2186.1808,857421.68,2020-12-01T11:15:41.865+09:00
2439,0,75,11962,2182.61,2180.8932,857643.7,2020-12-01T11:20:31.412+09:00
2439,0.07,76,10550,2178.58,2180.0418,857847.52,2020-12-01T11:25:21.692+09:00
2439,0.07,61,10967,2181.3332,2185.6554,857610.74,2020-12-01T11:35:31.627+09:00
2439,0.09,70,13084,2180.8052,2185.6158,857846.14,2020-12-01T11:40:23.085+09:00
2439,0.07,108,11636,2186.5956,2187.7162,850614,2020-12-01T11:45:44.365+09:00
2439,0.05,126,10947,2183.6292,2185.3,850757.98,2020-12-01T11:50:35.558+09:00
2439,0.07,85,12219,2184.2704,2186.3406,850581.48,2020-12-01T11:55:26.316+09:00
2439,0.05,76,10435,2187.3784,2186.4082,850109.2,2020-12-01T12:00:46.300+09:00
2439,0.1,98,12542,2192.2662,2192.0652,849807.7,2020-12-01T12:05:36.401+09:00
2439,0.13,66,11582,2186.5924,2186.9826,856949.38,2020-12-01T12:10:27.068+09:00
2439,0.1,61,12888,2186.7612,2187.775,856920.94,2020-12-01T12:15:47.677+09:00
2439,0,61,11865,2189.6454,2191.2944,856758.6,2020-12-01T12:20:36.930+09:00
2439,0.09,61,11483,2186.331,2185.2926,857029.12,2020-12-01T12:25:25.548+09:00
2439,0.09,106,11636,2185.4106,2183.9386,856864.88,2020-12-01T12:30:44.747+09:00
2439,0.26,66,11235,2174.4078,2172.7302,850395.4,2020-12-01T12:35:35.497+09:00
2439,0.14,72,11961,2178.0966,2173.204,850165.24,2020-12-01T12:40:26.428+09:00
2439,0.07,69,11164,2180.9906,2176.539,849849.16,2020-12-01T12:45:47.269+09:00
2439,0.12,102,11984,2179.7688,2176.1434,850067.06,2020-12-01T12:50:38.247+09:00
2439,0.16,64,11515,2178.9652,2177.3446,849996.78,2020-12-01T12:55:27.150+09:00
2439,0.07,61,11751,2175.5232,2178.3458,850349.06,2020-12-01T13:00:49.109+09:00
2439,0.06,85,10525,2178.1406,2181.455,850078.42,2020-12-01T13:05:39.020+09:00
2439,0.1,78,11673,2177.7684,2184.9534,857259.74,2020-12-01T13:15:19.800+09:00
2439,0.07,65,11668,2177.6854,2187.2418,857439.5,2020-12-01T13:20:41.042+09:00
2439,0.05,67,12135,2179.2286,2187.086,857567.1,2020-12-01T13:25:31.538+09:00
2439,0.05,65,10635,2174.3434,2182.3732,857859.66,2020-12-01T13:35:39.788+09:00
2439,0.1,74,11570,2175.3668,2185.537,857574.24,2020-12-01T13:40:28.011+09:00
2439,0.07,63,11396,2180.9452,2188.146,850095.04,2020-12-01T13:45:48.300+09:00
2439,0.07,73,12047,2178.2836,2186.4892,850244.78,2020-12-01T13:50:39.177+09:00
2439,0.13,61,10188,2171.8982,2177.8768,850510.4,2020-12-01T13:55:30.253+09:00
2439,0.05,106,11573,2174.2466,2177.3982,850316.74,2020-12-01T14:00:23.502+09:00
2439,0.09,116,11025,2174.9052,2179.6308,850622,2020-12-01T14:05:45.014+09:00
2439,0.11,61,11440,2180.2076,2186.2248,857482.4,2020-12-01T14:10:35.843+09:00
2439,0.07,89,10188,2180.132,2186.7406,857450.88,2020-12-01T14:15:25.318+09:00
2439,0.1,81,11636,2184.2602,2192.9078,856962.24,2020-12-01T14:20:44.847+09:00
2439,0.05,59,11581,2178.4582,2182.87,857138.02,2020-12-01T14:25:34.813+09:00
2439,0,108,11621,2175.393,2180.7944,857358.68,2020-12-01T14:35:43.832+09:00
2439,0.08,84,10773,2169.9846,2175.9666,857701.22,2020-12-01T14:40:34.350+09:00
