min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,flow_duration,Processing_time
229,237,233,5.66,77,102,89.5,17.68,179,599.263,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.408,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.403,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,497,185.83,165.81,1115,0.414,2021-12-14T15:59:11.583+09:00
229,237,233,5.66,77,102,89.5,17.68,179,299.682,2021-12-14T15:59:11.583+09:00
229,355,279,54.64,77,488,160.63,144.29,1285,87476.133,2021-12-14T15:59:11.583+09:00
237,245,241,5.66,102,102,102,0,204,300.095,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,373,307,63.29,89,464,185.17,156.72,1111,0.401,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.402,2021-12-14T15:59:11.583+09:00
229,329,268,31.69,77,102,99.17,7.44,1190,342787.061,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.414,2021-12-14T15:59:11.583+09:00
237,245,241,5.66,102,102,102,0,204,300,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,465,185.33,157.08,1112,0.409,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,496,185.67,165.43,1114,0.411,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,645,201.8,247.76,1009,0.403,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.411,2021-12-14T15:59:11.583+09:00
229,373,286,58.44,89,650,202.8,250,1014,0.406,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,237,233,5.66,77,102,89.5,17.68,179,299.645,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,466,185.5,157.43,1113,0.41,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.411,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,641,201,245.98,1005,0.407,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.407,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,467,185.67,157.79,1114,0.412,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,262,245,13.13,77,102,97,11.18,485,2099.55,2021-12-14T15:59:11.583+09:00
229,237,233,5.66,77,102,89.5,17.68,179,299.552,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.411,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,462,184.83,156.01,1109,0.411,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,373,283,60.42,89,646,183.83,226.42,1103,423003.774,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,186,43790.702,2021-12-14T15:59:11.583+09:00
229,373,294,54.72,89,646,192.91,195.65,2122,34200.504,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.412,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,279,424799.935,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.408,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,497,185.83,165.81,1115,0.406,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,650,202.8,250,1014,0.407,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.41,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.406,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,497,185.83,165.81,1115,0.406,2021-12-14T15:59:11.583+09:00
229,254,241,10.72,77,102,95.75,12.5,383,899.714,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,373,294,60.78,89,649,202.6,249.55,1013,0.407,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.411,2021-12-14T15:59:11.583+09:00
237,237,237,0,102,102,102,0,102,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.407,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.412,2021-12-14T15:59:11.583+09:00
229,329,275,31.36,77,102,99.92,7.22,1199,4799.149,2021-12-14T15:59:11.583+09:00
229,245,237,8,77,102,93.67,14.43,281,899.632,2021-12-14T15:59:11.583+09:00
229,355,293,52.23,89,465,185.22,147.32,3334,230999.756,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,270,250,15.45,77,102,97.83,10.21,587,1499.641,2021-12-14T15:59:11.583+09:00
229,270,247,15.86,77,102,97,11.18,485,2399.704,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,491,184.83,163.56,1109,0.406,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,468,185.83,158.14,1115,0.412,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,254,241,10.72,77,102,95.75,12.5,383,1499.602,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.411,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,296,262,22.92,77,102,99.22,8.33,893,2999.234,2021-12-14T15:59:11.583+09:00
229,355,285,56.06,89,462,171.71,146.58,1202,198615.014,2021-12-14T15:59:11.583+09:00
229,287,258,23.99,77,102,97.83,10.21,587,2699.714,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.409,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.408,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
